,vendor_id,b_entity_id
63419,47188080,0BGKY2-E
63421,197138840,070PYW-E
63658,46315734,05PJNM-E
63924,47193628,05TD9F-E
64136,26286908,085GG9-E
64378,58501039,07XKVB-E
64529,49486808,0GZB5R-E
64801,58635196,07PBN1-E
64803,20081153,0HMWCL-E
64815,47464454,09KDZY-E
64932,151601129,07GS83-E
65055,196027088,0C5WBQ-E
65064,24397051,0D55L3-E
65345,54692852,07ZL47-E
65591,47204657,00B3XH-E
65641,24384074,0F64BY-E
65923,140024213,07VGZ4-E
65924,302430478,07PBY1-E
65974,318340484,07VRN6-E
66243,60919729,0GPW43-E
66244,304881683,064VWB-E
66456,299351286,0022Q8-E
66506,58340755,07V9JM-E
66725,47922687,05PFXP-E
66726,194093734,0F5BD1-E
66961,50941970,07TGF3-E
66972,176096936,07V1YQ-E
67148,151543193,05PG1R-E
67150,46956205,002PKW-E
67200,312667210,07VN50-E
67448,293833798,0BJHPJ-E
67559,46317390,0F7XH5-E
67785,310933824,080LTY-E
67787,151669834,0C39M4-E
67800,282210801,087Y5Z-E
68013,47225062,0C85MH-E
68259,48825066,0CZTGC-E
68508,318166259,0CZK91-E
68736,325336477,0888JG-E
69003,287008959,05PKBT-E
69187,22826371,0DQ90Y-E
69421,90773776,002WG9-E
69423,195820376,06CTY8-E
69635,304887451,0G2H5S-E
69862,59702920,0CXQV9-E
70028,307166015,08V120-E
70232,201433571,0CD36Z-E
70410,47197797,05TD9F-E
70460,303141816,0F2Y5J-E
70713,300145998,07QDTS-E
70763,138080500,080K3N-E
70932,298474078,07VHK7-E
71173,292929199,0F37TC-E
71320,284955378,008ZJM-E
71371,47047556,07F9SW-E
71466,299266627,0074Q5-E
71693,285520791,0F63GF-E
71702,46807598,0F50LL-E
71975,49263063,0099Z2-E
71976,285003567,05GXKN-E
72026,325346108,080M4S-E
72156,312121801,002B08-E
72337,138669219,0F2YH7-E
72510,299158697,0F4FSP-E
72744,284998679,0F64DW-E
72748,285516291,0F63J0-E
72750,284954230,00CMBP-E
72979,286889139,006FK4-E
73215,285918512,088B17-E
73337,286740009,0F63HS-E
73339,286282126,07QR2B-E
73546,138703123,05PH05-E
73741,304539734,06P83H-E
73886,327886835,07QBL6-E
73888,174594959,09ZJZC-E
73890,47883056,07PBVS-E
73891,169367685,0F2CRG-E
74136,22202078,09T812-E
74264,60918891,0F59ZJ-E
74498,170523103,0BFH1D-E
74616,61430403,0GL81P-E
74617,169344066,05TD9F-E
74667,312667555,09LKK0-E
74684,50063039,000NYP-E
74896,302813279,073X75-E
75144,138045356,05VD2W-E
75378,138086887,0F7XDG-E
75415,285525401,0BRR5M-E
75651,198527179,0605MD-E
75652,286837875,0F2CQT-E
75700,286334860,0F647W-E
75893,138730151,07RKTL-E
76031,61395571,0F37S4-E
76244,285357451,0DGP0N-E
76245,25787656,07R907-E
76246,174235981,0CYM6P-E
76368,299803103,09NYCX-E
76632,315985477,083T4K-E
76633,151500392,08381W-E
76666,174238834,0881KZ-E
76667,174238497,073CCV-E
76883,294713674,0G0XYR-E
77130,54691230,0F49WV-E
77349,319355015,05PDYD-E
77576,26184530,0GVC1K-E
77704,302810109,07ZKKZ-E
77722,143029357,0DGYPV-E
77911,274754529,07VQ9B-E
77912,26007118,07ZNRL-E
78044,295098972,0DBK24-E
78165,284986472,000P03-E
78341,139269994,0GHZS6-E
78490,51122014,070PT3-E
78585,47215617,0DHS0Q-E
78588,196992674,0FPYTX-E
78589,306853145,005W5Z-E
78827,292176773,0BKHZC-E
78838,46318552,07W9YC-E
79058,308046088,0CZTPY-E
79277,46317843,07W3DH-E
79395,196349119,05PM9M-E
79647,304410442,0HPR9X-E
